Machine Learning Data, Accuracy, Precision, Recall, F1
Iteration 0
Decision Tree: , 0.85, 0.85, 0.85, 0.85
Neural Network: , 0.52, 0.52, 0.52, 0.52
SVM: , 0.39, 0.39, 0.39, 0.39
Iteration 1
Decision Tree: , 0.73, 0.73, 0.73, 0.7299999999999999
Neural Network: , 0.41, 0.41, 0.41, 0.41
SVM: , 0.34, 0.34, 0.34, 0.34
Iteration 2
Decision Tree: , 0.78, 0.78, 0.78, 0.78
Neural Network: , 0.32, 0.32, 0.32, 0.32
SVM: , 0.29, 0.29, 0.29, 0.29
Iteration 3
Decision Tree: , 0.79, 0.79, 0.79, 0.79
Neural Network: , 0.49, 0.49, 0.49, 0.49
SVM: , 0.42, 0.42, 0.42, 0.41999999999999993
Iteration 4
Decision Tree: , 0.81, 0.81, 0.81, 0.81
Neural Network: , 0.31, 0.31, 0.31, 0.31
SVM: , 0.33, 0.33, 0.33, 0.33
Iteration 5
Decision Tree: , 0.77, 0.77, 0.77, 0.7699999999999999
Neural Network: , 0.18, 0.18, 0.18, 0.18
SVM: , 0.49, 0.49, 0.49, 0.49
Iteration 6
Decision Tree: , 0.76, 0.76, 0.76, 0.76
Neural Network: , 0.5, 0.5, 0.5, 0.5
SVM: , 0.43, 0.43, 0.43, 0.42999999999999994
Iteration 7
Decision Tree: , 0.77, 0.77, 0.77, 0.7699999999999999
Neural Network: , 0.47, 0.47, 0.47, 0.47
SVM: , 0.4, 0.4, 0.4, 0.4000000000000001
Iteration 8
Decision Tree: , 0.76, 0.76, 0.76, 0.76
Neural Network: , 0.5, 0.5, 0.5, 0.5
SVM: , 0.28, 0.28, 0.28, 0.28
Iteration 9
Decision Tree: , 0.85, 0.85, 0.85, 0.85
Neural Network: , 0.47, 0.47, 0.47, 0.47
SVM: , 0.49, 0.49, 0.49, 0.49
