2, 18.205.93.2, 10.47.97.159,1,0.036267042,10,443,50297,53.9,1,,Web Browsing Data,,,,Video Streaming,,,,Video Conference,,,,File Download,,
1, 10.47.97.159, 64.233.185.139,0,41.71205401,74,49573,443,395.6756757,1,,Protocols,,,,Protocols,,,,Protocols,,,,Protocols,,
44, 10.47.97.159, 216.58.193.174,0,31.18751693,32,49881,443,392.125,1,,TCP,1,42,,TCP,1,24,,TCP,1,24,,TCP,1,46
4, 10.47.97.159, 69.147.64.34,1,48.51525116,49,50110,443,469.2653061,1,,UDP,0,8,,UDP,0,26,,UDP,0,26,,UDP,0,4
41, 10.47.97.159, 104.92.26.51,1,32.67957306,18,50143,443,361.1666667,1,,Ports,,,,Ports,,,,Ports,,,,Ports,,
43, 10.47.97.159, 130.211.16.53,1,46.01860905,13,50166,443,287,1,,HTTPS,443,0.5,,HTTPS,443,0.5,,HTTPS,443,0.28,,HTTPS,443,0.16
49, 10.47.97.159, 151.101.186.49,1,68.88591719,275,50184,443,677.1018182,1,,,,,,,51228,,,,16393,,,HTTP,80,0.34
19, 10.47.97.159, 99.84.168.89,1,45.96754694,20,50244,443,478.1,1,,,,,,,,,,,,,,,,
13, 10.47.97.159, 35.190.92.63,1,42.96979713,22,50246,443,83.5,1,,Well known Ports,0- 1023,0.5,,Well known Ports,0- 1023,0.5,,Well known Ports,0- 1023,0.28,,Well known Ports,0- 1023,0.5
48, 10.47.97.159, 35.190.62.200,1,68.66198921,72,50254,443,135.7083333,1,,Registered Ports,1024 - 49151,0,,Registered Ports,1024 - 49151,0,,Registered Ports,1024 - 49151,0.32,,Registered Ports,1024 - 49151,0
40, 10.47.97.159, 130.211.47.17,1,41.93743896,36,50255,443,101.1666667,1,,Dynamic Ports,49152 - 65535,0.5,,Dynamic Ports,49152 - 65535,0.5,,Dynamic Ports,49152 - 65535,0.38,,Dynamic Ports,49152 - 65535,0.5
47, 10.47.97.159, 23.79.68.94,1,68.64831781,28,50265,443,532.4285714,1,,,49152 - 54613,0.47,,,49152 - 54613,0.35,,,49152 - 54613,0.27,,,49152 - 54613,0.48
46, 10.47.97.159, 23.79.68.94,1,68.62033892,167,50268,443,595.9580838,1,,,54614 - 60074,0.02,,,54614 - 60074,0.04,,,54614 - 60074,0.08,,,54614 - 60074,0.01
3, 10.47.97.159, 66.218.87.15,1,47.94739127,35,50333,443,190.1714286,1,,,60075 - 65535,0.01,,,60075 - 65535,0.11,,,60075 - 65535,0.03,,,60075 - 65535,0.01
